district_id,indicator_name,indicator_value
강남구,만명당사망자수,0.018806219
강동구,만명당사망자수,0.044110285
강북구,만명당사망자수,0.071358996
강서구,만명당사망자수,0.018240519
관악구,만명당사망자수,0
광진구,만명당사망자수,0.028979795
구로구,만명당사망자수,0.023743382
금천구,만명당사망자수,0.040908831
노원구,만명당사망자수,0.02044626
도봉구,만명당사망자수,0
동대문구,만명당사망자수,0
동작구,만명당사망자수,0
마포구,만명당사망자수,0
서대문구,만명당사망자수,0.031333425
서초구,만명당사망자수,0
성동구,만명당사망자수,0.035873539
성북구,만명당사망자수,0.023181579
송파구,만명당사망자수,0.015853388
양천구,만명당사망자수,0.023729015
영등포구,만명당사망자수,0
용산구,만명당사망자수,0.048213916
은평구,만명당사망자수,0.066117888
종로구,만명당사망자수,0.273547293
중구,만명당사망자수,0
중랑구,만명당사망자수,0
강남구,만명당화재발생건수,7.278006691
강동구,만명당화재발생건수,4.080201319
강북구,만명당화재발생건수,7.100220143
강서구,만명당화재발생건수,5.72752312
관악구,만명당화재발생건수,4.870149635
광진구,만명당화재발생건수,6.462494349
구로구,만명당화재발생건수,4.843649833
금천구,만명당화재발생건수,9.327213372
노원구,만명당화재발생건수,3.516756732
도봉구,만명당화재발생건수,5.591305687
동대문구,만명당화재발생건수,4.536391944
동작구,만명당화재발생건수,4.891884156
마포구,만명당화재발생건수,9.108370345
서대문구,만명당화재발생건수,5.577349694
서초구,만명당화재발생건수,6.495323624
성동구,만명당화재발생건수,6.241995717
성북구,만명당화재발생건수,6.629931591
송파구,만명당화재발생건수,6.166967881
양천구,만명당화재발생건수,4.176306579
영등포구,만명당화재발생건수,8.349091415
용산구,만명당화재발생건수,7.039231663
은평구,만명당화재발생건수,4.209505548
종로구,만명당화재발생건수,13.47220418
중구,만명당화재발생건수,13.61968793
중랑구,만명당화재발생건수,4.120729396
강남구,재난약자수,26847
강동구,재난약자수,31315
강북구,재난약자수,21035
강서구,재난약자수,40395
관악구,재난약자수,26738
광진구,재난약자수,18075
구로구,재난약자수,28930
금천구,재난약자수,16437
노원구,재난약자수,35786
도봉구,재난약자수,20283
동대문구,재난약자수,23023
동작구,재난약자수,21986
마포구,재난약자수,20728
서대문구,재난약자수,18986
서초구,재난약자수,19736
성동구,재난약자수,18335
성북구,재난약자수,26096
송파구,재난약자수,36250
양천구,재난약자수,25884
영등포구,재난약자수,25021
용산구,재난약자수,11704
은평구,재난약자수,30743
종로구,재난약자수,7904
중구,재난약자수,7969
중랑구,재난약자수,28133
강남구,식품위생업등종사자수,21275
강동구,식품위생업등종사자수,8453
강북구,식품위생업등종사자수,5981
강서구,식품위생업등종사자수,11643
관악구,식품위생업등종사자수,8495
광진구,식품위생업등종사자수,7513
구로구,식품위생업등종사자수,7760
금천구,식품위생업등종사자수,6129
노원구,식품위생업등종사자수,8161
도봉구,식품위생업등종사자수,4458
동대문구,식품위생업등종사자수,7888
동작구,식품위생업등종사자수,6296
마포구,식품위생업등종사자수,13780
서대문구,식품위생업등종사자수,6519
서초구,식품위생업등종사자수,12275
성동구,식품위생업등종사자수,7429
성북구,식품위생업등종사자수,7355
송파구,식품위생업등종사자수,16735
양천구,식품위생업등종사자수,6136
영등포구,식품위생업등종사자수,13288
용산구,식품위생업등종사자수,8379
은평구,식품위생업등종사자수,7392
종로구,식품위생업등종사자수,10913
중구,식품위생업등종사자수,10880
중랑구,식품위생업등종사자수,6979
강남구,창고및운송관련서비스업체수,3038
강동구,창고및운송관련서비스업체수,2220
강북구,창고및운송관련서비스업체수,2336
강서구,창고및운송관련서비스업체수,6009
관악구,창고및운송관련서비스업체수,1446
광진구,창고및운송관련서비스업체수,1095
구로구,창고및운송관련서비스업체수,2447
금천구,창고및운송관련서비스업체수,8725
노원구,창고및운송관련서비스업체수,2818
도봉구,창고및운송관련서비스업체수,2758
동대문구,창고및운송관련서비스업체수,1018
동작구,창고및운송관련서비스업체수,908
마포구,창고및운송관련서비스업체수,2931
서대문구,창고및운송관련서비스업체수,2422
서초구,창고및운송관련서비스업체수,4882
성동구,창고및운송관련서비스업체수,2391
성북구,창고및운송관련서비스업체수,2403
송파구,창고및운송관련서비스업체수,83348
양천구,창고및운송관련서비스업체수,4691
영등포구,창고및운송관련서비스업체수,3503
용산구,창고및운송관련서비스업체수,653
은평구,창고및운송관련서비스업체수,2720
종로구,창고및운송관련서비스업체수,1165
중구,창고및운송관련서비스업체수,1522
중랑구,창고및운송관련서비스업체수,3370
강남구,인구 1만 명당 노후 건축물 수,175.6876964
강동구,인구 1만 명당 노후 건축물 수,225.712326
강북구,인구 1만 명당 노후 건축물 수,613.7587281
강서구,인구 1만 명당 노후 건축물 수,197.2894588
관악구,인구 1만 명당 노후 건축물 수,330.0135147
광진구,인구 1만 명당 노후 건축물 수,383.779429
구로구,인구 1만 명당 노후 건축물 수,283.9708431
금천구,인구 1만 명당 노후 건축물 수,373.4567144
노원구,인구 1만 명당 노후 건축물 수,136.3765547
도봉구,인구 1만 명당 노후 건축물 수,293.3928846
동대문구,인구 1만 명당 노후 건축물 수,505.7236945
동작구,인구 1만 명당 노후 건축물 수,338.2165439
마포구,인구 1만 명당 노후 건축물 수,342.3206256
서대문구,인구 1만 명당 노후 건축물 수,443.2426335
서초구,인구 1만 명당 노후 건축물 수,184.1796509
성동구,인구 1만 명당 노후 건축물 수,452.8316778
성북구,인구 1만 명당 노후 건축물 수,468.7315272
송파구,인구 1만 명당 노후 건축물 수,167.2056819
양천구,인구 1만 명당 노후 건축물 수,239.734235
영등포구,인구 1만 명당 노후 건축물 수,395.8612361
용산구,인구 1만 명당 노후 건축물 수,829.1829188
은평구,인구 1만 명당 노후 건축물 수,369.598995
종로구,인구 1만 명당 노후 건축물 수,779.541398
중구,인구 1만 명당 노후 건축물 수,879.2964998
중랑구,인구 1만 명당 노후 건축물 수,438.8975587
강남구,objectDetection,
강동구,objectDetection,
강북구,objectDetection,
강서구,objectDetection,
관악구,objectDetection,
광진구,objectDetection,
구로구,objectDetection,
금천구,objectDetection,
노원구,objectDetection,
도봉구,objectDetection,
동대문구,objectDetection,
동작구,objectDetection,
마포구,objectDetection,
서대문구,objectDetection,
서초구,objectDetection,
성동구,objectDetection,
성북구,objectDetection,
송파구,objectDetection,
양천구,objectDetection,
영등포구,objectDetection,
용산구,objectDetection,
은평구,objectDetection,
종로구,objectDetection,
중구,objectDetection,
중랑구,objectDetection,
강남구,병상수,8183
강동구,병상수,6325
강북구,병상수,2321
강서구,병상수,5241
관악구,병상수,2216
광진구,병상수,2496
구로구,병상수,4725
금천구,병상수,2076
노원구,병상수,3555
도봉구,병상수,2588
동대문구,병상수,5271
동작구,병상수,2387
마포구,병상수,1013
서대문구,병상수,3724
서초구,병상수,3991
성동구,병상수,1771
성북구,병상수,3581
송파구,병상수,6618
양천구,병상수,2788
영등포구,병상수,5446
용산구,병상수,810
은평구,병상수,3502
종로구,병상수,3557
중구,병상수,931
중랑구,병상수,3372
강남구,재정자주도,56.1
강동구,재정자주도,21.9
강북구,재정자주도,15.3
강서구,재정자주도,19.4
관악구,재정자주도,17.7
광진구,재정자주도,23.2
구로구,재정자주도,19.9
금천구,재정자주도,22
노원구,재정자주도,16.6
도봉구,재정자주도,17.3
동대문구,재정자주도,21.6
동작구,재정자주도,28.4
마포구,재정자주도,28
서대문구,재정자주도,20.3
서초구,재정자주도,53.2
성동구,재정자주도,30.2
성북구,재정자주도,18.7
송파구,재정자주도,31.9
양천구,재정자주도,21.6
영등포구,재정자주도,35.2
용산구,재정자주도,39.4
은평구,재정자주도,16
종로구,재정자주도,42
중구,재정자주도,53.6
중랑구,재정자주도,15.4
강남구,도시지역면적,39.5
강동구,도시지역면적,24.59
강북구,도시지역면적,23.6
강서구,도시지역면적,41.45
관악구,도시지역면적,29.57
광진구,도시지역면적,17.06
구로구,도시지역면적,20.12
금천구,도시지역면적,13.02
노원구,도시지역면적,35.44
도봉구,도시지역면적,20.65
동대문구,도시지역면적,14.22
동작구,도시지역면적,16.36
마포구,도시지역면적,23.85
서대문구,도시지역면적,17.63
서초구,도시지역면적,46.97
성동구,도시지역면적,16.82
성북구,도시지역면적,24.58
송파구,도시지역면적,33.88
양천구,도시지역면적,17.41
영등포구,도시지역면적,24.55
용산구,도시지역면적,21.87
은평구,도시지역면적,29.71
종로구,도시지역면적,23.91
중구,도시지역면적,9.96
중랑구,도시지역면적,18.5