"시군구별(1)",시군구별(2),2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4,2024.4/4
"시군구별(1)",시군구별(2),계,계,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,정신과개방,정신과개방,정신과개방,정신과개방,정신과개방,정신과개방,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,중환자실,중환자실,중환자실,중환자실,격리병실,격리병실,무균치료실,무균치료실,임종실,임종실
"시군구별(1)",시군구별(2),소계,소계,소계,소계,상급,상급,일반,일반,외국인전용,외국인전용,소계,소계,상급,상급,일반,일반,소계,소계,상급,상급,일반,일반,소계,소계,성인,성인,소아,소아,신생아,신생아,소계,소계,소계,소계,소계,소계
"시군구별(1)",시군구별(2),병실수 (실),병상수 (개),병실수 (실),병상수 (개),병실수 (실),병상수 (개),병실수 (실),병상수 (개),병실수 (실),병상수 (개),병실수 (실),병상수 (개),병실수 (실),병상수 (개),병실수 (실),병상수 (개),병실수 (실),병상수 (개),병실수 (실),병상수 (개),병실수 (실),병상수 (개),병실수 (실),병상수 (개),병실수 (실),병상수 (개),병실수 (실),병상수 (개),병실수 (실),병상수 (개),병실수 (실),병상수 (개),병실수 (실),병상수 (개),병실수 (실),병상수 (개)
"서울",소계,27664,88488,25722,80383,7566,9324,18142,70959,14,100,169,594,12,12,157,582,731,3074,58,93,673,2981,293,2871,230,2176,8,112,55,583,583,1311,146,235,20,20
"서울",강남구,3304,8183,3193,7736,1396,1659,1797,6077,0,0,7,17,1,1,6,16,10,27,1,1,9,26,25,303,11,164,2,29,12,110,52,75,17,25,0,0
"서울",강동구,1822,6325,1746,5972,419,533,1327,5439,0,0,6,26,0,0,6,26,12,60,0,0,12,60,9,167,7,147,0,0,2,20,43,94,2,2,4,4
"서울",강서구,1862,5241,1718,4953,453,573,1265,4380,0,0,13,35,0,0,13,35,34,128,0,0,34,128,84,112,78,91,0,0,6,21,7,7,4,4,2,2
"서울",관악구,701,2216,693,2184,182,244,511,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,2,26,0,0,0,0,6,6,0,0,0,0
"서울",구로구,1334,4725,1255,4359,320,417,935,3942,0,0,7,26,0,0,7,26,39,171,0,0,39,171,8,126,7,106,0,0,1,20,9,12,11,26,5,5
"서울",도봉구,656,2588,556,2127,102,140,454,1987,0,0,25,102,0,0,25,102,66,327,0,0,66,327,1,24,1,24,0,0,0,0,8,8,0,0,0,0
"서울",동대문구,1440,5271,1221,4300,288,358,933,3942,0,0,32,129,0,0,32,129,145,659,6,6,139,653,9,118,7,98,0,0,2,20,31,63,2,2,0,0
"서울",동작구,695,2387,633,2147,162,216,471,1931,0,0,4,20,0,0,4,20,9,40,0,0,9,40,8,123,6,92,0,0,2,31,39,55,2,2,0,0
"서울",마포구,336,1013,336,1013,99,110,237,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"서울",서대문구,1292,3724,1188,3315,403,465,785,2850,0,0,12,27,7,7,5,20,22,72,12,24,10,48,12,238,9,161,2,25,1,52,41,51,16,20,1,1
"서울",성동구,516,1771,466,1529,98,115,368,1414,0,0,5,17,0,0,5,17,4,16,0,0,4,16,6,82,5,62,0,0,1,20,31,117,4,10,0,0
"서울",성북구,1012,3581,981,3408,242,312,739,3096,0,0,0,0,0,0,0,0,8,34,0,0,8,34,6,103,5,83,0,0,1,20,9,16,7,19,1,1
"서울",영등포구,1451,5446,1363,5010,360,479,1003,4531,0,0,4,18,0,0,4,18,48,211,0,0,48,211,12,158,9,142,0,0,3,16,15,40,8,8,1,1
"서울",용산구,221,810,201,713,74,85,127,628,0,0,0,0,0,0,0,0,6,21,1,1,5,20,3,65,2,55,0,0,1,10,4,4,6,6,1,1
"서울",은평구,966,3502,848,3033,199,253,649,2780,0,0,4,18,0,0,4,18,33,153,3,3,30,150,5,71,4,54,0,0,1,17,67,212,8,14,1,1
"서울",종로구,1093,3557,1016,3180,255,291,761,2889,0,0,10,22,1,1,9,21,23,59,2,2,21,57,14,249,11,171,1,24,2,54,17,25,13,22,0,0
"서울",중구,301,931,278,838,90,110,188,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,55,6,55,0,0,0,0,16,37,0,0,1,1
"서울",송파구,2390,6618,2264,6049,764,868,1486,5081,14,100,12,44,1,1,11,43,50,201,3,3,47,198,16,272,12,181,2,29,2,62,31,31,15,19,2,2
"서울",중랑구,953,3372,845,2946,181,226,664,2720,0,0,6,9,0,0,6,9,70,329,0,0,70,329,12,67,11,64,0,0,1,3,20,21,0,0,0,0
"서울",양천구,829,2788,780,2657,203,257,577,2400,0,0,0,0,0,0,0,0,2,10,0,0,2,10,31,105,19,86,0,0,12,19,13,13,3,3,0,0
"서울",서초구,1484,3991,1427,3742,596,719,831,3023,0,0,0,0,0,0,0,0,11,35,3,3,8,32,8,139,5,84,1,5,2,50,16,28,22,47,0,0
"서울",노원구,1005,3555,899,2999,234,318,665,2681,0,0,5,21,0,0,5,21,21,75,8,22,13,53,7,120,5,98,0,0,2,22,70,337,2,2,1,1
"서울",광진구,775,2496,643,2051,190,244,453,1807,0,0,12,41,2,2,10,39,78,252,19,28,59,224,5,97,4,81,0,0,1,16,33,51,4,4,0,0
"서울",강북구,669,2321,664,2293,180,215,484,2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,2,24,0,0,0,0,3,4,0,0,0,0
"서울",금천구,557,2076,508,1829,76,117,432,1712,0,0,5,22,0,0,5,22,40,194,0,0,40,194,2,27,2,27,0,0,0,0,2,4,0,0,0,0
